,year,level_0,index,idx,ID,immagine_custom,id_to_like,hidden_class,seconds,rounded_seconds
0,2015,6771.238993710692,6773.2342767295595,6774.2342767295595,338960.0440251572,,27.0,,119.00602285309171,118.98113207547169
1,2016,6072.316146540027,6074.3120759837175,6075.3120759837175,382621.7788331072,,27.0,,114.96540950177221,114.94029850746269
2,2017,5342.415954415955,5344.415954415955,5345.415954415955,427848.7977207977,,27.0,,100.78663490313149,100.79344729344729
3,2018,4613.762517882689,4615.314735336195,4616.314735336195,456608.26037195994,,27.0,,92.40164318280245,92.41773962804005
4,2019,3845.5819277108435,3846.2192771084337,3847.2192771084337,497825.73855421686,,27.0,,98.69150081248463,98.69397590361446
5,2020,2932.5,2932.5,2933.5,550574.593373494,,27.0,,94.76463071311606,94.76204819277109
6,2021,1938.0969696969696,1938.0979797979799,1939.0979797979799,584587.7707070707,,27.0,,96.87146401120043,96.86666666666666
7,2022,979.0,979.0,980.0,638259.473570658,,27.0,,99.81602122107743,99.81769147788565
8,2023,257.5,257.11240310077517,258.11240310077517,678073.503875969,,27.0,,109.04673000028015,109.06201550387597
